Actual,Predicted,Mean
3.0,6.949124524758532,11
5.0,5.46607596730599,10
1.0,5.856351087258532,11
1.0,8.556823202163615,13
7.0,9.415921399758531,11
3.0,4.491116712258532,11
23.0,12.621764608413615,13
0.0,2.41187674855599,10
1.0,6.829007337258532,11
6.0,9.997952649758531,11
23.0,11.874905774758531,11
4.0,12.510786363461074,12
10.0,8.556823202163615,13
2.0,3.42164237355599,10
23.0,14.502835462258531,11
8.0,10.664456556008531,11
11.0,5.14527518605599,10
7.0,11.378950425961074,12
4.0,4.78638846730599,10
12.0,11.359769056008531,11
3.0,6.762601087258532,11
6.0,7.356351087258532,11
5.0,12.365140149758531,11
5.0,4.28687674855599,10
23.0,9.125044175961074,12
5.0,9.474026868508531,11
6.0,5.18580252980599,10
8.0,7.419966050961074,12
5.0,4.50757987355599,10
10.0,10.459866712258531,11
2.0,5.04517752980599,10
6.0,8.806058118508531,11
3.0,7.673733899758532,11
15.0,7.937405774758532,11
8.0,7.08179862355599,10
11.0,10.849515149758531,11
20.0,8.162015149758531,11
12.0,7.137601087258532,11
18.0,8.301175306008531,11
12.0,9.283597181008531,11
10.0,8.067776868508531,11
7.0,7.757229993508532,11
9.0,10.238187024758531,11
9.0,9.949124524758531,11
6.0,11.385159681008531,11
23.0,11.362210462258531,11
18.0,13.119046399758531,11
1.0,8.278226087258531,11
1.0,5.28345877980599,10
19.0,12.599653550961074,12
4.0,5.34058768605599,10
8.0,8.448424764663615,13
3.0,6.595120618508532,11
9.0,5.762112806008532,11
10.0,8.835843274758531,11
4.0,8.625882337258531,11
4.0,7.09449393605599,10
2.0,7.736233899758532,11
7.0,10.495022962258531,11
8.0,8.198147962258531,11
7.0,8.995161363461074,12
6.0,6.937405774758532,11
1.0,10.425687024758531,11
4.0,10.200589368508531,11
2.0,8.448424764663615,13
8.0,6.087934800961074,12
7.0,9.059614488461074,12
4.0,7.558499524758532,11
10.0,8.552151868508531,11
23.0,11.438382337258531,11
23.0,9.051663587258531,11
12.0,11.115140149758531,11
23.0,11.627485582211074,12
23.0,12.033247300961074,12
8.0,5.04761893605599,10
4.0,10.078030774758531,11
2.0,6.14918143605599,10
23.0,9.580122300961074,12
20.0,8.215026327163615,13
19.0,12.167524644711074,12
7.0,8.448424764663615,13
6.0,3.852444837258532,11
8.0,7.483442613461074,12
3.0,5.23414237355599,10
1.0,4.17066581105599,10
11.0,7.831937024758532,11
1.0,3.75465018605599,10
4.0,6.051663587258532,11
3.0,7.716702649758532,11
23.0,15.902876207211074,12
8.0,9.205960462258531,11
4.0,3.41773612355599,10
7.0,4.72437674855599,10
4.0,8.448424764663615,13
1.0,8.2729203170687,15
2.0,2.65699393605599,10
15.0,10.115140149758531,11
18.0,14.707075425961074,12
6.0,6.691312024758532,11
4.0,9.963284681008531,11
4.0,13.150296399758531,11
10.0,5.64869315480599,10
8.0,7.314847181008532,11
1.0,8.267134019711074,12
23.0,12.442426988461074,12
7.0,5.74976737355599,10
13.0,7.507718274758532,11
4.0,8.448424764663615,13
2.0,7.290921399758532,11
11.0,10.874905774758531,11
6.0,3.96656424855599,10
6.0,3.25416190480599,10
4.0,7.615628431008532,11
23.0,12.757229993508531,11
12.0,7.872952649758532,11
6.0,10.922757337258531,11
1.0,2.89039237355599,10
4.0,6.252347181008532,11
16.0,9.922757337258531,11
23.0,9.418012925961074,12
3.0,12.644925306008531,11
11.0,5.75562674855599,10
15.0,8.060452649758531,11
3.0,11.772366712258531,11
5.0,6.76734549855599,10
8.0,8.448424764663615,13
4.0,7.595608899758532,11
14.0,12.968167493508531,11
23.0,9.281294175961074,12
3.0,4.76050956105599,10
2.0,2.96021659230599,10
10.0,10.693265149758531,11
4.0,6.392483899758532,11
11.0,5.412991712258532,11
1.0,3.30640799855599,10
5.0,12.326077649758531,11
2.0,7.343655774758532,11
3.0,8.249905774758531,11
1.0,4.01002127980599,10
8.0,7.408247300961074,12
5.0,7.196194837258532,11
3.0,4.06812674855599,10
3.0,8.556823202163615,13
23.0,8.694729993508531,11
4.0,8.448424764663615,13
5.0,6.27906424855599,10
15.0,13.419339368508531,11
9.0,7.516507337258532,11
4.0,6.214749524758532,11
0.0,8.963284681008531,11
4.0,4.77222831105599,10
23.0,12.783597181008531,11
7.0,9.298245618508531,11
1.0,6.535200425961074,12
2.0,6.283108899758532,11
6.0,10.262112806008531,11
6.0,10.747952649758531,11
22.0,8.803616712258531,11
23.0,13.309964368508531,11
0.0,3.718794175961074,12
14.0,11.046780774758531,11
8.0,5.805569837258532,11
6.0,5.024808118508532,11
13.0,5.94019706105599,10
16.0,9.844632337258531,11
4.0,8.215026327163615,13
3.0,2.65699393605599,10
3.0,5.457425306008532,11
11.0,11.236722181008531,11
3.0,4.52027518605599,10
3.0,8.003323743508531,11
23.0,10.896666952163615,13
6.0,4.480374524758532,11
21.0,11.395551988461074,12
3.0,8.470747300961074,12
8.0,4.85718924855599,10
1.0,3.21656424855599,10
9.0,7.991116712258532,11
8.0,6.637112806008532,11
5.0,6.307522962258532,11
3.0,8.267483899758531,11
15.0,8.461819837258531,11
6.0,7.185452649758532,11
8.0,12.818753431008531,11
11.0,7.528364488461074,12
19.0,7.868069837258532,11
2.0,5.02613456105599,10
23.0,11.543851087258531,11
2.0,5.411038587258532,11
13.0,7.183987806008532,11
19.0,14.898831556008531,11
9.0,5.826077649758532,11
6.0,9.912153550961074,12
3.0,2.89039237355599,10
11.0,4.19410331105599,10
3.0,8.325239488461074,12
8.0,8.750394056008531,11
3.0,4.828519056008532,11
5.0,9.043851087258531,11
9.0,9.773831556008531,11
5.0,5.02320487355599,10
9.0,5.82105643605599,10
2.0,5.197171399758532,11
23.0,11.366116712258531,11
5.0,11.611722181008531,11
6.0,4.00465018605599,10
3.0,8.215026327163615,13
23.0,12.375882337258531,11
23.0,15.251370618508531,11
2.0,2.89039237355599,10
1.0,5.624905774758532,11
2.0,4.161038587258532,11
23.0,10.184964368508531,11
23.0,14.171919175961074,12
10.0,6.756741712258532,11
5.0,3.915433118508532,11
2.0,9.749417493508531,11
4.0,5.071194837258532,11
10.0,7.850979993508532,11
0.0,6.826565931008532,11
3.0,8.256253431008531,11
4.0,6.032132337258532,11
6.0,8.215026327163615,13
4.0,7.077054212258532,11
14.0,6.162015149758532,11
23.0,15.119184800961074,12
2.0,8.885786363461074,12
